age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
40,5,687,11,15,2,2,0,4,1,0,0,39,37,0
22,3,1422,12,5,2,1,0,4,1,0,0,28,37,0
24,3,2764,12,5,2,9,0,4,1,0,0,26,37,1
9,5,105,15,1,5,2,1,4,1,0,0,18,37,0
7,3,1540,15,1,2,2,0,4,1,0,0,23,37,0
22,3,2038,12,5,4,3,1,2,1,58,0,41,37,1
38,3,1208,9,4,2,3,0,4,1,11,0,30,37,1
17,3,1511,14,6,2,9,0,4,1,0,0,44,37,1
47,6,1419,10,7,2,9,0,4,1,0,0,39,4,1
1,3,1286,1,13,4,11,3,4,1,0,0,3,37,0
2,3,124,2,14,4,13,3,4,1,0,0,3,37,0
24,3,237,9,4,2,9,0,4,1,0,0,28,37,1
0,3,1134,1,13,4,7,3,4,1,0,0,13,37,0
8,3,253,9,4,0,2,1,4,1,0,0,28,37,0
19,3,2213,11,15,5,7,4,2,0,0,0,16,37,0
52,3,169,11,15,2,7,0,4,1,0,0,8,37,0
33,3,1431,11,15,2,1,5,4,0,0,0,28,37,1
23,1,142,12,5,4,9,1,4,1,0,0,28,37,0
10,3,1477,15,1,2,9,0,4,1,31,0,39,37,1
4,3,2208,0,12,5,11,4,2,0,0,0,26,37,0
16,6,135,15,1,0,1,4,4,0,0,0,33,37,0
16,0,23,15,1,4,0,3,4,1,0,0,28,37,0
29,3,554,11,15,2,6,0,2,1,0,0,28,37,0
43,3,1203,11,15,2,9,0,4,1,0,0,18,37,0
24,5,1907,11,15,2,9,0,4,1,0,0,28,37,0
35,3,2602,9,4,2,3,0,4,1,0,0,39,37,1
37,3,2506,4,9,2,13,0,4,1,0,0,28,37,1
37,2,952,15,1,6,1,4,4,0,0,0,28,25,0
22,4,722,11,15,2,3,0,4,1,0,0,57,37,0
2,3,1789,11,15,4,11,4,2,0,0,0,18,37,0
31,3,1670,15,1,0,2,1,4,1,33,0,28,37,0
27,2,1121,7,3,4,10,1,4,1,0,0,28,37,0
15,4,131,15,1,2,2,0,4,1,0,0,28,37,0
28,6,1212,12,5,2,9,0,4,1,0,0,33,37,1
8,3,2203,11,15,4,13,1,4,1,0,0,53,37,0
32,3,719,11,15,2,10,0,4,1,0,0,28,37,1
28,2,2510,12,5,2,9,0,4,1,0,0,39,37,1
1,3,2401,1,13,4,9,3,4,1,0,0,8,37,0
27,1,1613,9,4,2,1,0,1,1,0,0,28,28,1
21,0,1371,14,6,0,0,1,4,0,0,0,18,37,0
48,3,150,9,4,2,3,0,4,1,0,0,28,37,1
64,3,2803,9,4,6,11,1,4,1,0,0,39,37,1
18,3,1189,11,15,4,3,1,4,0,0,0,43,37,0
38,5,467,11,15,0,3,1,4,1,34,0,49,37,0
35,3,2155,15,1,2,9,0,4,1,0,0,28,37,0
50,3,63,15,1,6,9,1,4,0,0,0,4,37,0
34,3,398,12,5,2,3,0,4,1,0,0,49,37,1
11,6,232,15,1,2,10,0,4,1,0,0,28,37,0
16,3,217,8,2,0,1,1,4,1,0,0,28,37,0
8,0,4,9,4,2,0,5,4,0,0,0,13,37,0
47,0,1362,11,15,6,0,1,4,0,0,0,18,37,0
16,3,358,11,15,2,10,0,4,1,57,0,36,37,1
23,2,100,8,2,4,3,4,0,0,0,0,28,37,0
32,5,22,11,15,2,12,0,4,1,0,0,18,37,1
24,3,842,15,1,4,2,1,4,0,0,0,28,37,0
36,3,1885,9,4,0,11,1,4,0,6,0,31,37,1
18,3,1012,6,11,2,5,0,4,1,0,0,34,37,0
22,3,88,15,1,4,2,4,4,0,0,0,28,37,0
37,6,227,9,4,2,3,0,4,1,0,0,28,31,1
5,6,1711,7,3,4,9,1,4,0,0,0,3,37,0
8,0,759,9,4,4,0,1,1,1,0,0,16,34,0
10,3,1080,8,2,4,6,4,4,1,0,0,33,37,0
9,2,2006,9,4,2,9,5,4,0,0,0,44,37,1
36,3,1131,1,13,6,7,3,4,0,0,0,35,37,0
41,6,1185,9,4,2,1,0,4,1,0,0,23,37,1
26,1,2179,9,4,4,12,1,4,1,0,0,39,37,0
13,2,2443,0,12,2,2,0,4,1,0,0,28,37,0
14,3,132,11,15,4,2,2,4,1,0,0,28,37,0
30,3,505,9,4,4,1,1,4,1,0,0,49,37,0
17,4,2572,9,4,4,9,1,4,0,0,0,50,37,1
22,2,1537,9,4,2,9,0,4,1,0,0,39,37,1
30,5,1391,15,1,0,7,4,4,0,0,0,33,37,0
22,3,1930,11,15,2,1,0,4,1,44,0,12,37,0
30,3,1162,14,6,0,1,1,4,1,0,0,28,37,0
5,3,1844,11,15,4,5,1,2,1,0,0,28,37,0
31,3,1908,12,5,2,12,0,4,1,0,0,28,37,1
26,3,1616,8,2,2,2,0,4,1,0,0,28,37,0
31,3,2581,9,4,0,3,1,4,1,0,0,35,37,0
30,6,1992,15,1,2,9,0,4,1,0,0,39,37,0
9,3,1932,11,15,4,5,3,4,0,0,0,28,37,0
20,5,309,11,15,2,4,0,4,1,0,0,58,37,0
2,3,90,15,1,4,1,3,4,0,0,0,3,37,0
24,5,438,11,15,2,13,0,4,1,0,0,33,37,0
11,3,1266,12,5,2,9,0,4,1,0,0,36,37,0
29,3,1755,11,15,2,6,0,4,1,0,0,28,37,0
33,3,1801,9,4,2,3,0,4,1,0,0,49,37,0
22,6,2818,10,7,2,9,0,4,1,0,0,39,37,1
13,3,2776,11,15,2,6,0,1,1,0,0,28,38,1
8,3,1338,11,15,4,7,3,4,0,0,0,48,37,0
22,4,266,7,3,2,3,0,4,1,11,0,44,37,1
9,3,683,11,15,2,11,0,4,1,0,0,28,37,0
9,3,1057,6,11,4,7,3,4,0,0,0,26,8,0
21,3,128,14,6,4,9,1,4,0,0,0,39,37,1
30,3,1207,9,4,2,9,0,4,1,0,0,49,37,1
5,3,1686,15,1,4,1,3,4,1,0,0,1,37,0
36,1,808,15,1,5,2,1,2,1,0,0,28,37,0
9,3,911,15,1,2,3,0,4,1,57,0,28,37,1
24,3,1859,11,15,4,11,1,2,0,0,0,49,37,0
35,6,2416,11,15,0,1,1,4,0,0,0,28,9,0
11,3,1566,15,1,4,5,1,4,1,0,0,28,37,0
20,2,1567,9,4,2,9,5,4,0,11,0,39,37,1
40,3,562,11,15,2,13,0,4,1,0,0,28,37,0
11,3,2738,11,15,2,7,5,2,0,0,0,11,37,0
5,5,2090,15,1,4,4,3,4,1,0,0,8,37,0
14,3,57,9,4,4,11,1,4,0,0,0,53,37,1
28,3,2680,11,15,2,7,0,1,1,0,0,63,23,1
32,3,1333,15,1,0,12,1,4,1,0,0,28,37,0
10,3,1173,7,3,4,9,1,4,1,0,0,28,37,0
34,3,730,11,15,2,3,0,4,1,0,0,39,37,0
1,3,2259,11,15,4,1,3,4,0,0,0,8,37,0
9,3,2380,1,13,2,7,2,4,1,0,0,13,37,0
37,3,571,8,2,2,12,0,4,1,57,0,28,37,1
15,3,345,9,4,2,6,0,4,1,0,0,39,37,0
22,5,2762,11,15,4,11,2,4,0,0,0,27,37,0
10,3,344,11,15,2,7,5,4,0,0,0,28,37,1
4,0,2370,15,1,4,0,3,4,1,0,0,28,37,0
39,2,584,9,4,0,3,4,4,0,0,0,28,37,0
29,3,1100,9,4,2,3,0,4,1,0,0,23,37,1
35,3,1127,5,10,2,3,5,4,0,0,0,39,37,0
44,0,1081,11,15,2,0,0,4,1,0,0,48,37,0
43,3,191,15,1,2,11,0,4,1,56,0,28,37,1
7,3,2732,9,4,5,3,1,4,0,0,0,28,37,0
44,6,292,10,7,2,9,0,4,1,0,0,28,0,1
12,5,642,15,1,4,3,3,1,1,0,0,33,33,0
40,0,2347,15,1,2,0,0,1,1,0,0,49,37,1
21,5,1940,15,1,0,6,4,4,1,0,0,28,37,0
18,3,960,11,15,4,1,1,4,1,58,0,28,37,1
45,3,2371,0,12,2,11,0,4,1,0,0,23,37,0
13,3,957,12,5,2,9,0,1,1,0,0,28,37,1
21,3,1273,15,1,6,1,4,2,0,0,0,28,37,0
33,6,1914,9,4,2,10,0,4,1,0,0,28,37,1
44,5,197,1,13,2,3,0,4,1,0,0,8,37,0
2,1,1415,15,1,4,1,3,4,0,0,0,0,37,0
9,3,624,11,15,0,2,1,4,1,0,0,28,37,0
3,3,2716,15,1,4,1,3,4,1,0,0,65,9,0
34,1,2000,11,15,2,2,0,4,1,42,0,28,37,1
13,3,2276,11,15,0,13,3,2,1,0,0,28,37,0
9,3,1703,11,15,4,5,1,4,1,0,0,33,37,0
3,0,1547,2,14,4,0,1,2,0,0,0,23,37,0
43,3,104,8,2,2,12,0,4,1,56,0,28,37,1
17,3,1858,15,1,4,11,1,4,1,0,0,53,37,0
30,1,1167,9,4,2,9,0,4,1,0,0,39,37,0
13,3,1627,15,1,2,4,0,4,1,0,0,28,37,0
42,3,715,11,15,4,1,4,4,1,0,0,28,37,0
28,5,1783,15,1,2,3,0,0,1,0,0,28,37,0
38,3,379,9,4,2,3,0,3,1,0,7,23,18,0
14,3,1858,12,5,2,3,0,4,1,0,37,57,34,1
2,3,7,15,1,4,7,3,4,0,0,0,8,37,0
20,3,981,15,1,0,12,4,4,0,0,0,28,37,0
0,3,849,0,12,4,7,2,4,1,0,0,3,37,0
28,2,1343,12,5,2,9,5,4,0,0,0,33,37,1
18,3,67,15,1,2,2,0,4,1,0,0,39,37,1
9,3,2432,11,15,4,5,1,4,1,0,0,8,25,0
38,3,448,0,12,2,7,0,4,1,0,0,28,37,0
8,2,948,11,15,4,2,3,4,1,0,0,28,37,0
15,0,737,11,15,2,0,0,4,1,0,0,38,37,0
14,3,1634,9,4,4,9,4,4,1,0,0,28,37,0
6,3,2403,15,1,2,6,0,4,1,0,0,28,37,0
19,3,343,9,4,2,9,0,4,1,31,0,33,37,1
34,3,1699,0,12,2,11,0,4,1,0,24,28,37,1
19,3,1873,7,3,4,12,1,4,0,0,0,28,37,0
28,6,2773,12,5,2,1,0,4,1,0,0,28,18,0
19,5,133,15,1,2,3,0,4,1,0,0,41,37,0
5,2,277,15,1,4,9,1,4,0,0,0,9,37,0
36,3,534,11,15,2,2,0,4,1,0,0,28,37,0
20,3,1603,11,15,2,6,0,2,1,0,0,24,37,1
26,3,781,11,15,2,11,0,4,1,0,0,28,37,1
18,3,1897,15,1,2,2,0,4,1,41,0,23,37,0
33,3,1166,11,15,2,2,0,4,1,0,0,28,37,1
31,3,581,15,1,4,2,1,2,0,0,0,28,37,0
7,5,2190,8,2,4,7,4,4,0,0,0,26,37,0
15,3,912,15,1,0,1,4,4,0,0,0,28,37,0
37,6,388,10,7,4,3,1,4,0,0,0,28,37,1
40,3,2440,11,15,2,1,5,4,0,0,0,28,37,0
48,0,2080,11,15,6,0,4,4,0,0,0,28,37,0
17,3,286,15,1,0,1,1,4,0,0,0,28,37,0
34,5,2317,15,1,0,2,1,4,1,0,0,61,31,1
8,3,2482,11,15,4,13,1,4,1,0,0,60,37,0
7,5,2090,11,15,4,11,1,4,1,0,0,28,37,0
49,5,827,7,3,2,2,0,4,1,17,0,18,17,0
19,3,1719,11,15,0,3,1,4,1,0,0,28,37,0
46,4,1776,9,4,2,3,0,4,1,0,0,49,37,0
14,3,1220,2,14,0,13,3,4,1,0,0,28,37,0
16,3,1624,15,1,4,3,1,4,1,0,0,28,37,0
28,3,841,11,15,5,1,4,4,0,0,0,26,37,0
30,3,2393,8,2,2,2,0,4,1,0,0,28,37,1
26,3,2793,11,15,0,7,3,1,0,0,0,28,33,0
41,3,440,12,5,4,1,1,4,0,0,0,12,37,1
5,3,2202,15,1,4,9,4,4,0,0,0,8,37,0
15,3,988,0,12,5,2,4,4,0,0,0,28,37,0
32,0,770,6,11,0,0,1,4,1,0,0,28,37,0
44,3,1544,9,4,0,1,1,4,1,0,0,28,37,1
0,3,205,0,12,4,7,3,4,1,0,0,8,37,0
22,2,2808,15,1,0,9,3,4,0,0,0,33,37,0
40,3,1721,11,15,2,6,0,4,1,0,0,28,37,0
7,3,1033,9,4,4,9,4,4,0,0,0,28,37,0
23,3,1530,2,14,2,7,0,2,1,0,0,28,22,0
22,3,1671,11,15,0,8,4,2,0,0,0,4,37,0
8,3,880,9,4,4,2,3,4,1,0,8,23,37,0
33,3,2757,3,8,5,9,4,2,0,0,0,28,37,0
3,3,85,11,15,4,6,1,2,1,0,0,28,0,0
2,3,1725,15,1,4,11,2,4,0,0,0,13,37,0
42,2,769,0,12,6,7,4,2,0,0,0,18,37,0
33,3,2526,11,15,0,1,1,2,1,0,0,28,37,0
37,3,2707,11,15,2,2,0,1,1,0,22,28,37,1
17,5,2534,11,15,2,4,5,4,0,0,32,1,37,0
25,3,576,15,1,4,6,1,4,1,0,0,33,37,0
3,3,651,11,15,4,1,4,1,0,0,0,3,37,0
15,2,2710,11,15,2,7,0,4,1,0,0,29,37,0
18,3,2805,1,13,2,4,0,4,1,0,0,28,37,0
23,3,982,7,3,4,7,2,4,1,0,0,13,37,0
37,3,1893,11,15,2,11,0,4,1,0,0,39,37,1
36,5,617,11,15,2,2,0,2,1,31,0,58,37,0
26,5,2824,8,2,2,2,0,4,1,0,0,28,37,0
3,3,2125,15,1,4,11,3,4,1,0,0,28,37,0
17,3,1634,9,4,2,7,0,4,1,0,0,18,37,1
26,3,1321,12,5,2,9,5,4,0,0,0,33,37,1
8,3,2379,7,3,4,5,3,4,1,0,0,14,37,0
41,3,780,11,15,2,11,0,4,1,57,0,28,37,1
51,0,40,11,15,6,0,1,4,1,0,0,20,37,0
25,3,1248,15,1,0,3,1,4,0,0,17,39,37,0
22,3,987,9,4,2,9,0,4,1,0,0,28,37,1
34,6,703,11,15,2,3,0,4,1,0,0,28,37,0
35,3,723,11,15,6,7,4,1,0,0,0,28,18,1
1,3,893,11,15,4,2,3,4,1,0,0,28,37,0
6,3,2320,11,15,4,1,3,4,0,0,0,28,37,0
22,3,1225,9,4,0,1,1,4,1,0,0,28,37,0
0,3,2504,2,14,4,7,3,4,0,0,0,48,37,0
20,3,2214,9,4,2,2,0,1,1,0,0,28,1,1
22,4,921,11,15,2,3,0,4,1,0,0,28,37,1
19,5,1649,9,4,4,4,1,4,1,0,0,39,25,0
27,2,453,9,4,2,9,0,4,1,0,0,28,37,1
3,3,194,15,1,4,12,3,4,1,0,0,3,37,0
27,3,851,9,4,2,3,0,4,1,0,0,33,37,0
21,3,1263,15,1,2,11,0,4,1,0,0,39,37,1
24,3,1276,11,15,0,2,4,4,1,16,0,28,23,0
25,3,2396,15,1,2,2,0,4,1,0,0,49,37,1
22,3,618,11,15,6,1,1,4,0,0,0,28,37,0
8,3,2369,9,4,4,2,3,4,1,0,0,18,2,0
4,3,1052,11,15,2,11,0,3,1,0,0,23,37,0
21,3,2097,9,4,4,3,1,4,1,0,0,44,37,0
26,3,2103,15,1,2,3,0,4,1,0,0,39,37,0
47,2,1770,11,15,0,1,1,4,0,0,0,23,37,0
22,3,246,11,15,0,7,3,4,1,0,0,28,37,0
3,3,2372,15,1,4,7,3,4,1,0,0,49,37,0
34,3,394,15,1,2,1,0,4,1,56,0,28,37,1
2,3,764,15,1,4,7,3,4,1,0,0,8,37,0
15,5,2570,11,15,0,3,4,4,0,0,0,28,37,0
4,3,593,11,15,4,6,3,4,1,0,0,49,37,0
2,0,838,11,15,4,0,3,2,0,0,0,12,37,0
17,5,2789,11,15,2,6,0,4,1,0,0,28,37,0
19,3,2284,8,2,0,2,1,4,1,0,0,26,37,0
22,3,1915,11,15,2,2,0,2,1,0,0,28,37,0
30,3,462,1,13,0,2,1,4,0,0,0,33,37,0
20,3,2249,11,15,5,2,4,4,1,0,0,57,28,0
19,3,545,9,4,0,11,2,1,0,0,0,28,33,0
34,3,33,12,5,2,10,0,4,1,0,24,28,37,1
5,3,2419,15,1,4,11,3,4,1,0,0,28,37,0
46,2,2702,11,15,2,3,5,4,0,0,0,20,37,0
33,1,2815,9,4,2,3,0,4,1,56,0,28,37,1
29,3,1788,9,4,4,9,1,4,0,0,0,28,37,0
17,3,1828,6,11,2,2,0,4,1,0,0,39,37,0
30,5,605,15,1,0,7,1,4,0,0,0,33,37,0
13,3,883,15,1,4,7,4,4,0,0,0,24,37,0
40,3,378,0,12,2,6,0,2,1,0,0,36,37,0
27,3,1335,9,4,2,3,0,4,1,0,0,57,37,1
24,3,658,9,4,0,12,1,4,0,0,0,18,0,0
26,3,639,15,1,0,6,1,4,1,0,0,28,37,0
7,3,471,9,4,4,3,4,4,1,0,0,28,37,1
22,3,526,15,1,0,11,2,4,0,0,0,23,37,0
6,3,1123,9,4,4,11,3,4,0,0,0,49,37,0
8,2,1288,11,15,0,12,4,4,0,0,0,28,37,0
39,2,1823,12,5,2,3,0,2,1,0,0,28,37,1
31,5,2590,11,15,2,4,0,4,1,0,0,39,37,0
21,3,1979,11,15,0,7,1,4,0,0,0,23,37,0
34,3,2664,15,1,2,11,0,4,1,0,0,28,37,0
7,3,2466,15,1,4,7,4,2,0,0,0,23,37,0
35,3,2024,11,15,6,13,1,4,1,0,0,28,37,0
46,4,1060,15,1,2,3,0,4,1,0,0,33,37,1
12,3,340,15,1,2,3,0,4,1,0,0,28,37,0
29,3,437,11,15,3,4,1,4,1,0,0,53,37,0
37,3,2765,9,4,2,7,0,4,1,0,0,28,37,0
15,3,531,15,1,2,2,0,4,1,0,0,33,37,0
7,6,487,12,5,4,9,1,1,1,0,0,8,18,0
37,3,1900,11,15,2,13,0,4,1,0,0,28,37,1
15,3,209,11,15,2,10,0,4,1,0,0,28,37,0
32,2,463,4,9,2,7,0,4,1,0,0,28,37,0
16,3,2500,11,15,2,2,0,4,1,0,0,23,37,0
5,3,875,8,2,4,9,4,2,0,0,0,23,37,0
45,2,153,12,5,0,9,1,4,0,1,0,21,37,1
55,4,782,14,6,2,9,0,4,1,61,0,39,37,1
33,5,1623,7,3,4,11,1,4,0,0,3,38,37,0
25,3,393,4,9,3,4,1,4,1,0,0,23,25,0
3,3,2292,15,1,4,7,1,4,0,0,0,13,37,0
2,6,371,15,1,4,1,3,4,0,0,0,0,37,0
42,3,467,1,13,2,1,0,4,1,0,0,28,37,0
12,5,2610,11,15,2,4,0,4,1,36,0,28,37,0
